provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj,local_moran_i,lisa_quadrant,gi_star_z,gi_p_value,hotspot_label
Sucumbíos,Shushufindi,2104,216,-0.2055931583817767,-76.65112271715257,8,194,1,21,67,57,16,50,134.0,114.0,64.0,0.3215,Hotspot (HH),0.4763,0.6338,not significant
Sucumbíos,Sucumbíos,2105,4,0.50356975,-77.5873665,0,2,0,0,0,1,0,50,0.0,2.0,0.0,0.1098,Low outlier (LH),-0.2867,0.7743,not significant
Tungurahua,Ambato,1801,247,-1.1657516208273202,-72.89499310310013,25,184,2,20,46,40,22,380,12.1,10.5,11.6,0.0054,Hotspot (HH),0.2451,0.8064,not significant
Tungurahua,Baños De Agua Santa,1802,19,-1.3264135789473674,-74.27270810526316,1,17,0,4,1,1,1,50,2.0,2.0,4.0,-0.5948,Coldspot (LL),1.0367,0.2999,not significant
Tungurahua,Cevallos,1803,8,-1.1804616,-68.7928069125,3,5,0,2,1,3,0,50,2.0,6.0,0.0,0.2002,Coldspot (LL),-1.3425,0.1794,not significant
Tungurahua,Mocha,1804,1,-1.40023,-78.64602,1,0,0,0,0,0,0,50,0.0,0.0,0.0,1.0736,Coldspot (LL),-1.2496,0.2115,not significant
Tungurahua,Patate,1805,8,-1.28892575,-78.491402375,0,7,0,0,1,6,0,50,2.0,12.0,0.0,0.0484,High outlier (HL),0.7832,0.4335,not significant
Tungurahua,Quero,1806,1,-1.37651,-78.61037,0,0,0,0,0,0,0,50,0.0,0.0,0.0,0.9742,Coldspot (LL),-1.2166,0.2238,not significant
Tungurahua,San Pedro De Pelileo,1807,25,-1.3663425386665624,-78.53077004191982,2,21,0,3,6,6,0,50,12.0,12.0,0.0,-0.0601,High outlier (HL),-1.1182,0.2635,not significant
Tungurahua,Santiago De Píllaro,1808,20,-1.029973670850968,-70.6939875771803,2,16,0,4,0,0,1,50,0.0,0.0,4.0,-0.5697,Coldspot (LL),0.6694,0.5032,not significant
Tungurahua,Tisaleo,1809,5,-1.358686631410598,-78.65021738316608,0,5,0,1,0,2,0,50,0.0,4.0,0.0,0.5287,Coldspot (LL),-1.9264,0.0541,coldspot (90%)
Zamora Chinchipe,Centinela Del Cóndor,1907,6,-3.2575258333333337,-65.62750483333333,1,1,0,1,1,1,1,50,2.0,2.0,4.0,0.61,Coldspot (LL),-0.9876,0.3234,not significant
Zamora Chinchipe,Chinchipe,1902,4,-4.8741175000000005,-79.0778125,0,3,0,1,1,1,1,50,2.0,2.0,4.0,0.8454,Coldspot (LL),-2.0691,0.0385,coldspot (95%)
Zamora Chinchipe,El Pangui,1906,19,-3.630144499999999,-78.56929234736842,1,14,0,2,4,6,3,50,8.0,12.0,12.0,0.1156,Hotspot (HH),1.8342,0.0666,hotspot (90%)
Zamora Chinchipe,Nangaritza,1903,6,-3.4916846400000003,-65.56558575999999,1,4,0,0,0,1,0,50,0.0,2.0,0.0,0.603,Coldspot (LL),-0.958,0.3381,not significant
Zamora Chinchipe,Palanda,1908,3,-4.56664857666666,-79.18132359333333,0,2,0,0,0,0,0,50,0.0,0.0,0.0,1.2277,Coldspot (LL),-1.7676,0.0771,coldspot (90%)
Zamora Chinchipe,Paquisha,1909,17,-3.564361125751779,-69.34013556342457,0,14,0,5,1,6,0,50,2.0,12.0,0.0,-0.0285,High outlier (HL),-0.5055,0.6132,not significant
Zamora Chinchipe,Yantzaza,1905,19,-3.400342851662022,-70.4549992879585,1,10,0,3,2,6,1,50,4.0,12.0,4.0,-0.0529,High outlier (HL),-0.9223,0.3564,not significant
Zamora Chinchipe,Zamora,1901,14,-3.7655471419101656,-73.29907564725194,2,3,1,0,1,4,0,30,3.3,13.3,0.0,0.0089,High outlier (HL),0.091,0.9275,not significant
